UNIQUE_STATION,IN_BK
182-183 STS BD,FALSE
FORDHAM RD BD,FALSE
KINGSBRIDGE RD BD,FALSE
BEDFORD PK BLVD BD,FALSE
NORWOOD 205 ST D,FALSE
7 AV BDE,FALSE
5 AV/53 ST EM,FALSE
LEXINGTON AV/53 EM6,FALSE
COURT SQ-23 ST EMG,FALSE
QUEENS PLAZA EMR,FALSE
36 ST MR,FALSE
STEINWAY ST MR,FALSE
46 ST MR,FALSE
NORTHERN BLVD MR,FALSE
65 ST MR,FALSE
JKSN HT-ROOSVLT EFMR7,FALSE
ELMHURST AV MR,FALSE
GRAND-NEWTOWN MR,FALSE
WOODHAVEN BLVD MR,FALSE
63 DR-REGO PARK MR,FALSE
67 AV MR,FALSE
FOREST HILLS 71 EFMR,FALSE
75 AV EF,FALSE
KEW GARDENS EF,FALSE
BRIARWOOD EF,FALSE
SUTPHIN BLVD F,FALSE
PARSONS BLVD F,FALSE
169 ST F,FALSE
JAMAICA 179 ST F,FALSE
COURT SQ EMG,FALSE
21 ST G,FALSE
GREENPOINT AV G,TRUE
NASSAU AV G,TRUE
METROPOLITAN AV GL,TRUE
BROADWAY G,TRUE
FLUSHING AV G,TRUE
MYRTLE-WILLOUGH G,TRUE
BEDFORD-NOSTRAN G,TRUE
CLASSON AV G,TRUE
CLINTON-WASH AV G,TRUE
FULTON ST G,TRUE
47-50 STS ROCK BDFM,FALSE
42 ST-BRYANT PK BDFM7,FALSE
23 ST FM,FALSE
14 ST FLM123,FALSE
B'WAY-LAFAYETTE BDFQ6,FALSE
GRAND ST BD,FALSE
2 AV F,FALSE
EAST BROADWAY F,FALSE
YORK ST F,TRUE
BERGEN ST FG,TRUE
CARROLL ST FG,TRUE
SMITH-9 ST FG,TRUE
4 AV-9 ST DFGMNR,TRUE
7 AV FG,TRUE
15 ST-PROSPECT FG,TRUE
FT HAMILTON PKY FG,TRUE
CHURCH AV FG,TRUE
DITMAS AV F,TRUE
18 AV F,TRUE
AVENUE I F,TRUE
BAY PKWY F,TRUE
AVENUE N F,TRUE
AVENUE P F,TRUE
KINGS HWY F,TRUE
AVENUE U F,TRUE
AVENUE X F,TRUE
NEPTUNE AV F,TRUE
LEXINGTON AV/63 F,FALSE
ROOSEVELT ISLND F,FALSE
21 ST-QNSBRIDGE F,FALSE
JAMAICA VAN WK E,FALSE
SUTPHIN-ARCHER EJZ,FALSE
JAMAICA CENTER EJZ,FALSE
72 ST-2 AVE Q,FALSE
86 ST-2 AVE Q,FALSE
96 ST-2 AVE Q,FALSE
ORCHARD BEACH 6,FALSE
NEWARK HW BMEBE 1,FALSE
HARRISON 1,FALSE
JOURNAL SQUARE 1,FALSE
GROVE STREET 1,FALSE
EXCHANGE PLACE 1,FALSE
PAVONIA/NEWPORT 1,FALSE
CITY / BUS 1,FALSE
CHRISTOPHER ST 1,FALSE
9TH STREET 1,FALSE
14TH STREET 1,FALSE
TWENTY THIRD ST 1,FALSE
THIRTY ST 1,FALSE
LACKAWANNA 1,FALSE
THIRTY THIRD ST 1,FALSE
NEWARK BM BW 1,FALSE
NEWARK C 1,FALSE
NEWARK HM HE 1,FALSE
PATH WTC 2 1,FALSE
PATH NEW WTC 1,FALSE
SOUTH FERRY 1RW,FALSE
RECTOR ST 1,FALSE
CORTLANDT ST 1,FALSE
WTC-CORTLANDT 1,FALSE
WALL ST 23,FALSE
PARK PLACE 23ACE,FALSE
CHAMBERS ST 123,FALSE
FRANKLIN ST 1,FALSE
CANAL ST 1,FALSE
HOUSTON ST 1,FALSE
14 ST 123FLM,FALSE
18 ST 1,FALSE
23 ST 1,FALSE
28 ST 1,FALSE
34 ST-PENN STA 123,FALSE
34 ST-PENN STA 123ACE,FALSE
TIMES SQ-42 ST 1237ACENQRSW,FALSE
TIMES SQ-42 ST 1237ACENQRS,FALSE
50 ST 1,FALSE
59 ST COLUMBUS 1ABCD,FALSE
66 ST-LINCOLN 1,FALSE
72 ST 123,FALSE
79 ST 1,FALSE
86 ST 1,FALSE
96 ST 123,FALSE
103 ST 1,FALSE
CATHEDRAL PKWY 1,FALSE
116 ST-COLUMBIA 1,FALSE
125 ST 1,FALSE
137 ST CITY COL 1,FALSE
145 ST 1,FALSE
157 ST 1,FALSE
168 ST 1AC,FALSE
181 ST 1,FALSE
191 ST 1,FALSE
DYCKMAN ST 1,FALSE
207 ST 1,FALSE
215 ST 1,FALSE
MARBLE HILL-225 1,FALSE
231 ST 1,FALSE
238 ST 1,FALSE
V.CORTLANDT PK 1,FALSE
BOWLING GREEN 45,FALSE
WALL ST 45,FALSE
BROOKLYN BRIDGE 456JZ,FALSE
SPRING ST 6,FALSE
BLEECKER ST 6DF,FALSE
ASTOR PL 6,FALSE
14 ST-UNION SQ 456LNQRW,FALSE
23 ST 6,FALSE
33 ST 6,FALSE
GRD CNTRL-42 ST 4567S,FALSE
51 ST 6,FALSE
59 ST 456NQRW,FALSE
68ST-HUNTER CO 6,FALSE
77 ST 6,FALSE
86 ST 456,FALSE
96 ST 6,FALSE
103 ST 6,FALSE
110 ST 6,FALSE
116 ST 6,FALSE
125 ST 456,FALSE
138/GRAND CONC 45,FALSE
149/GRAND CONC 245,FALSE
161/YANKEE STAD 4BD,FALSE
167 ST 4,FALSE
170 ST 4,FALSE
MT EDEN AV 4,FALSE
176 ST 4,FALSE
BURNSIDE AV 4,FALSE
183 ST 4,FALSE
FORDHAM RD 4,FALSE
KINGSBRIDGE RD 4,FALSE
BEDFORD PK BLVD 4,FALSE
MOSHOLU PKWY 4,FALSE
WOODLAWN 4,FALSE
CENTRAL PK N110 23,FALSE
116 ST 23,FALSE
125 ST 23,FALSE
135 ST 23,FALSE
145 ST 3,FALSE
HARLEM 148 ST 3,FALSE
3 AV-149 ST 25,FALSE
JACKSON AV 25,FALSE
PROSPECT AV 25,FALSE
INTERVALE AV 25,FALSE
SIMPSON ST 25,FALSE
FREEMAN ST 25,FALSE
174 ST 25,FALSE
WEST FARMS SQ 25,FALSE
E 180 ST 25,FALSE
BRONX PARK EAST 25,FALSE
PELHAM PKWY 25,FALSE
ALLERTON AV 25,FALSE
BURKE AV 25,FALSE
GUN HILL RD 25,FALSE
219 ST 25,FALSE
225 ST 25,FALSE
233 ST 25,FALSE
NEREID AV 25,FALSE
WAKEFIELD/241 2,FALSE
3 AV 138 ST 6,FALSE
BROOK AV 6,FALSE
CYPRESS AV 6,FALSE
E 143/ST MARY'S 6,FALSE
E 149 ST 6,FALSE
LONGWOOD AV 6,FALSE
HUNTS POINT AV 6,FALSE
WHITLOCK AV 6,FALSE
ELDER AV 6,FALSE
MORISN AV/SNDVW 6,FALSE
ST LAWRENCE AV 6,FALSE
PARKCHESTER 6,FALSE
CASTLE HILL AV 6,FALSE
ZEREGA AV 6,FALSE
WESTCHESTER SQ 6,FALSE
MIDDLETOWN RD 6,FALSE
BUHRE AV 6,FALSE
PELHAM BAY PARK 6,FALSE
5 AVE 7BDFM,FALSE
VERNON-JACKSON 7,FALSE
HUNTERS PT AV 7,FALSE
COURT SQ 7,FALSE
QUEENSBORO PLZ 7NQW,FALSE
36 AV NQW,FALSE
30 AV NQW,FALSE
ASTORIA BLVD NQW,FALSE
ASTORIA DITMARS NQW,FALSE
33 ST-RAWSON ST 7,FALSE
40 ST LOWERY ST 7,FALSE
46 ST BLISS ST 7,FALSE
52 ST 7,FALSE
61 ST WOODSIDE 7,FALSE
69 ST 7,FALSE
74 ST-BROADWAY 7EFMR,FALSE
82 ST-JACKSON H 7,FALSE
90 ST-ELMHURST 7,FALSE
JUNCTION BLVD 7,FALSE
103 ST-CORONA 7,FALSE
111 ST 7,FALSE
METS-WILLETS PT 7,FALSE
FLUSHING-MAIN 7,FALSE
34 ST-HUDSON YD 7,FALSE
CLARK ST 23,TRUE
BOROUGH HALL 2345R,TRUE
HOYT ST 23,TRUE
NEVINS ST 2345,TRUE
ATL AV-BARCLAY 2345BDNQR,TRUE
BERGEN ST 23,TRUE
GRAND ARMY PLAZ 23,TRUE
EASTN PKWY-MUSM 23,TRUE
FRANKLIN AV 2345S,TRUE
NOSTRAND AV 3,TRUE
KINGSTON AV 3,TRUE
CROWN HTS-UTICA 34,TRUE
SUTTER AV-RUTLD 3,TRUE
SARATOGA AV 3,TRUE
ROCKAWAY AV 3,TRUE
JUNIUS ST 3,TRUE
PENNSYLVANIA AV 3,TRUE
VAN SICLEN AV 3,TRUE
NEW LOTS AV 3,TRUE
PRESIDENT ST 25,TRUE
STERLING ST 25,TRUE
WINTHROP ST 25,TRUE
CHURCH AV 25,TRUE
BEVERLY RD 25,TRUE
NEWKIRK AV 25,TRUE
FLATBUSH AV-B.C 25,TRUE
MORRIS PARK 5,FALSE
PELHAM PKWY 5,FALSE
GUN HILL RD 5,FALSE
BAYCHESTER AV 5,FALSE
EASTCHSTER/DYRE 5,FALSE
ST. GEORGE 1,FALSE
TOMPKINSVILLE 1,FALSE
RIT-MANHATTAN R,FALSE
RIT-ROOSEVELT R,FALSE
