4 AV-9 ST DFGMNR
7 AV FG
15 ST-PROSPECT FG
FT HAMILTON PKY FG
CHURCH AV FG
DITMAS AV F
18 AV F
AVENUE I F
BAY PKWY F
AVENUE N F
AVENUE P F
KINGS HWY F
AVENUE U F
AVENUE X F
NEPTUNE AV F
LEXINGTON AV/63 F
ROOSEVELT ISLND F
21 ST-QNSBRIDGE F
JAMAICA VAN WK E
SUTPHIN-ARCHER EJZ
JAMAICA CENTER EJZ
72 ST-2 AVE Q
86 ST-2 AVE Q
96 ST-2 AVE Q
ORCHARD BEACH 6
NEWARK HW BMEBE 1
HARRISON 1
JOURNAL SQUARE 1
GROVE STREET 1
EXCHANGE PLACE 1
PAVONIA/NEWPORT 1
CITY / BUS 1
CHRISTOPHER ST 1
9TH STREET 1
14TH STREET 1
TWENTY THIRD ST 1
THIRTY ST 1
LACKAWANNA 1
THIRTY THIRD ST 1
NEWARK BM BW 1
NEWARK C 1
NEWARK HM HE 1
PATH WTC 2 1
PATH NEW WTC 1
SOUTH FERRY 1RW
RECTOR ST 1
CORTLANDT ST 1
WTC-CORTLANDT 1
WALL ST 23
PARK PLACE 23ACE
CHAMBERS ST 123
FRANKLIN ST 1
CANAL ST 1
HOUSTON ST 1
14 ST 123FLM
18 ST 1
23 ST 1
28 ST 1
34 ST-PENN STA 123
34 ST-PENN STA 123ACE
TIMES SQ-42 ST 1237ACENQRSW
TIMES SQ-42 ST 1237ACENQRS
50 ST 1
59 ST COLUMBUS 1ABCD
66 ST-LINCOLN 1
72 ST 123
79 ST 1
86 ST 1
96 ST 123
103 ST 1
CATHEDRAL PKWY 1
116 ST-COLUMBIA 1
125 ST 1
137 ST CITY COL 1
145 ST 1
157 ST 1
168 ST 1AC
181 ST 1
191 ST 1
DYCKMAN ST 1
207 ST 1
215 ST 1
MARBLE HILL-225 1
231 ST 1
238 ST 1
V.CORTLANDT PK 1
BOWLING GREEN 45
WALL ST 45
BROOKLYN BRIDGE 456JZ
SPRING ST 6
BLEECKER ST 6DF
ASTOR PL 6
14 ST-UNION SQ 456LNQRW
23 ST 6
33 ST 6
GRD CNTRL-42 ST 4567S
51 ST 6
